name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,3000,1,3000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,12000,1,12000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,12000,2,6000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,12000,2,6000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,14000,1,14000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,14000,1,14000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,15000,1,15000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,15000,2,7500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,16000,1,16000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,16000,2,8000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,16000,2,8000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,16000,2,8000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,16000,2,8000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,16000,1,16000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,16500,1,16500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,16500,2,8250.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,17000,2,8500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,17000,2,8500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,17000,2,8500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,17000,2,8500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,17000,2,8500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,17000,2,8500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,17500,2,8750.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,18000,2,9000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,18000,2,9000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,18000,2,9000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,18000,2,9000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,18000,2,9000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,18500,2,9250.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,18500,2,9250.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,19000,2,9500.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,20000,2,10000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,20000,1,20000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,0,20000,1,20000.0,1,1
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-10,8,1,1,20000,2,10000.0,1,1
